"Date","Contract","Method","Gas cost"
"2021-03-23T23","LendingPool","LP Deposit","487505"
"2021-03-23T23","LendingPool","LP Withdraw","433136"
"2021-03-23T23","Loans","Creating a loan","482910"
"2021-03-23T23","Loans","Depositing collateral","128770"
"2021-03-23T23","Loans","Taking out a loan","648773"
"2021-03-23T23","Loans","Repaying a loan","450462"
"2021-03-23T23","Loans","Withdrawing collateral","190472"
