"Date","Contract","Method","Gas cost"
"2021-03-31T19","LendingPool","LP Deposit","468731"
"2021-03-31T19","LendingPool","LP Withdraw","419324"
"2021-03-31T19","Loans","Creating a loan","417958"
"2021-03-31T19","Loans","Depositing collateral","148764"
"2021-03-31T19","Loans","Taking out a loan","672913"
"2021-03-31T19","Loans","Repaying a loan","478300"
"2021-03-31T19","Loans","Withdrawing collateral","214053"
