"Date","Contract","Method","Gas cost"
"2021-04-05T04","LendingPool","LP Deposit","484259"
"2021-04-05T04","LendingPool","LP Withdraw","425341"
"2021-04-05T04","Loans","Creating a loan","428894"
"2021-04-05T04","Loans","Depositing collateral","155025"
"2021-04-05T04","Loans","Taking out a loan","699462"
"2021-04-05T04","Loans","Repaying a loan","488505"
"2021-04-05T04","Loans","Withdrawing collateral","231065"
