"Date","Contract","Method","Gas cost"
"2021-03-27T02","LendingPool","LP Deposit","487427"
"2021-03-27T02","LendingPool","LP Withdraw","433114"
"2021-03-27T02","Loans","Creating a loan","403297"
"2021-03-27T02","Loans","Depositing collateral","128696"
"2021-03-27T02","Loans","Taking out a loan","648778"
"2021-03-27T02","Loans","Repaying a loan","8468490"
"2021-03-27T02","Loans","Withdrawing collateral","190496"
